frame,sx,sy,gx,gy
698,186,2,33,-86
699,187,2,33,-86
700,188,2,34,-85
701,189,2,35,-85
702,190,2,35,-85
703,191,2,36,-85
704,192,2,37,-84
705,193,2,38,-84
706,194,2,38,-84
707,195,2,39,-83
708,196,2,39,-83
709,197,2,40,-83
710,198,2,41,-83
711,199,2,41,-82
712,200,2,42,-82
713,201,2,43,-82
714,202,2,43,-82
715,203,2,44,-81
716,204,2,45,-81
717,205,2,45,-81
718,206,2,46,-81
719,207,2,46,-81
720,208,2,46,-80
721,209,2,48,-80
722,210,2,48,-80
723,211,2,48,-80
724,212,2,49,-79
725,213,2,50,-79
726,214,2,50,-79
727,215,2,51,-79
728,216,2,51,-79
729,217,2,52,-78
730,218,2,52,-78
731,219,2,53,-78
732,220,2,53,-78
733,221,2,54,-77
734,222,2,54,-77
735,223,2,55,-77
736,224,2,55,-77
737,225,2,56,-76
738,226,2,56,-76
739,227,2,57,-76
740,228,2,57,-76
741,229,2,58,-76
742,230,2,59,-75
743,231,2,60,-75
744,232,2,60,-75
745,233,2,60,-75
746,234,2,61,-74
747,235,2,61,-74
748,236,2,62,-74
749,237,2,62,-74
750,238,2,64,-73
751,239,2,64,-73
752,240,2,64,-73
753,241,2,65,-73
754,242,2,65,-73
755,243,2,65,-73
756,244,2,66,-72
757,245,2,66,-72
758,246,2,67,-72
759,247,2,68,-72
760,248,2,68,-72
761,249,2,68,-71
762,250,2,69,-71
763,251,2,69,-71
764,252,2,70,-71
765,253,2,70,-71
766,254,2,70,-70
767,255,2,71,-70
768,0,3,-71,-69
769,1,3,-71,-70
770,2,3,-71,-70
771,3,3,-70,-70
772,4,3,-70,-71
773,5,3,-70,-71
774,6,3,-69,-71
775,7,3,-68,-71
776,8,3,-68,-71
777,9,3,-68,-72
778,10,3,-68,-72
779,11,3,-66,-72
780,12,3,-66,-72
781,13,3,-66,-72
782,14,3,-65,-73
783,15,3,-65,-73
784,16,3,-64,-73
785,17,3,-64,-73
786,18,3,-64,-73
787,19,3,-62,-74
788,20,3,-62,-74
789,21,3,-62,-74
790,22,3,-61,-74
791,23,3,-61,-74
792,24,3,-60,-75
793,25,3,-60,-75
794,26,3,-60,-75
795,27,3,-59,-75
796,28,3,-58,-76
797,29,3,-57,-76
798,30,3,-57,-76
799,31,3,-56,-76
800,32,3,-56,-76
801,33,3,-55,-77
802,34,3,-55,-77
803,35,3,-54,-77
804,36,3,-54,-77
805,37,3,-53,-78
806,38,3,-53,-78
807,39,3,-52,-78
808,40,3,-52,-78
809,41,3,-51,-79
810,42,3,-50,-79
811,43,3,-50,-79
812,44,3,-50,-79
813,45,3,-48,-80
814,46,3,-48,-80
815,47,3,-48,-80
816,48,3,-46,-80
817,49,3,-46,-80
818,50,3,-46,-81
819,51,3,-45,-81
820,52,3,-45,-81
821,53,3,-44,-81
822,54,3,-43,-82
823,55,3,-43,-82
824,56,3,-43,-82
825,57,3,-41,-82
826,58,3,-41,-83
827,59,3,-41,-83
828,60,3,-39,-83
829,61,3,-39,-83
830,62,3,-39,-83
831,63,3,-38,-84
832,64,3,-37,-84
833,65,3,-36,-85
834,66,3,-36,-85
835,67,3,-35,-85
836,68,3,-34,-85
837,69,3,-34,-85
838,70,3,-33,-86
839,71,3,-32,-86
840,72,3,-31,-87
841,73,3,-31,-87
842,74,3,-30,-87
843,75,3,-29,-87
844,76,3,-29,-88
845,77,3,-28,-88
846,78,3,-27,-88
847,79,3,-27,-88
848,80,3,-26,-89
849,81,3,-25,-89
850,82,3,-25,-89
851,83,3,-24,-90
852,84,3,-23,-90
853,85,3,-22,-90
854,86,3,-21,-91
855,87,3,-21,-91
856,88,3,-20,-91
857,89,3,-19,-91
858,90,3,-19,-92
859,91,3,-17,-92
860,92,3,-17,-93
861,93,3,-16,-93
862,94,3,-16,-93
863,95,3,-15,-93
864,96,3,-14,-94
865,97,3,-13,-94
866,98,3,-12,-94
867,99,3,-11,-95
868,100,3,-10,-95
869,101,3,-9,-96
870,102,3,-8,-96
871,103,3,-8,-96
872,104,3,-7,-96
873,105,3,-6,-97
874,106,3,-5,-97
875,107,3,-4,-97
876,108,3,-3,-98
877,109,3,-2,-98
878,110,3,-2,-99
879,111,3,-1,-99
880,112,3,0,-99
881,113,3,0,-100
882,114,3,0,-100
883,115,3,0,-100
884,116,3,0,-100
885,117,3,0,-100
886,118,3,0,-100
887,119,3,0,-100
888,120,3,0,-100
889,121,3,0,-100
890,122,3,0,-100
891,123,3,0,-100
892,124,3,0,-100
893,125,3,0,-100
894,126,3,0,-100
895,127,3,0,-100
896,128,3,0,-100
897,129,3,0,-100
898,130,3,0,-100
899,131,3,0,-100
900,132,3,0,-100
901,133,3,0,-100
902,134,3,0,-100
903,135,3,0,-100
904,136,3,0,-100
905,137,3,0,-100
906,138,3,0,-100
907,139,3,0,-100
908,140,3,0,-100
909,141,3,0,-100
910,142,3,0,-100
911,143,3,0,-100
912,144,3,0,-99
913,145,3,1,-99
914,146,3,2,-99
915,147,3,2,-98
916,148,3,3,-98
917,149,3,4,-97
918,150,3,5,-97
919,151,3,6,-97
920,152,3,7,-96
921,153,3,8,-96
922,154,3,8,-96
923,155,3,9,-96
924,156,3,10,-95
925,157,3,11,-95
926,158,3,12,-94
927,159,3,13,-94
928,160,3,14,-94
929,161,3,15,-93
930,162,3,16,-93
931,163,3,16,-93
932,164,3,17,-93
933,165,3,17,-92
934,166,3,19,-92
935,167,3,19,-91
936,168,3,20,-91
937,169,3,21,-91
938,170,3,21,-91
939,171,3,22,-90
940,172,3,23,-90
941,173,3,24,-90
942,174,3,25,-89
943,175,3,25,-89
944,176,3,26,-89
945,177,3,27,-88
946,178,3,27,-88
947,179,3,28,-88
948,180,3,29,-88
949,181,3,29,-87
950,182,3,30,-87
951,183,3,31,-87
952,184,3,31,-87
953,185,3,32,-86
954,186,3,33,-86
955,187,3,34,-85
956,188,3,34,-85
957,189,3,35,-85
958,190,3,36,-85
959,191,3,36,-85
960,192,3,37,-84
961,193,3,38,-84
962,194,3,39,-83
963,195,3,39,-83
964,196,3,39,-83
965,197,3,41,-83
966,198,3,41,-83
967,199,3,41,-82
968,200,3,43,-82
969,201,3,43,-82
970,202,3,43,-82
971,203,3,44,-81
972,204,3,45,-81
973,205,3,45,-81
974,206,3,46,-81
975,207,3,46,-80
976,208,3,46,-80
977,209,3,48,-80
978,210,3,48,-80
979,211,3,48,-80
980,212,3,50,-79
981,213,3,50,-79
982,214,3,50,-79
983,215,3,51,-79
984,216,3,52,-78
985,217,3,52,-78
986,218,3,53,-78
987,219,3,53,-78
988,220,3,54,-77
989,221,3,54,-77
990,222,3,55,-77
991,223,3,55,-77
992,224,3,56,-76
993,225,3,56,-76
994,226,3,57,-76
995,227,3,57,-76
996,228,3,58,-76
997,229,3,59,-75
998,230,3,60,-75
999,231,3,60,-75
1000,232,3,60,-75
1001,233,3,61,-74
1002,234,3,61,-74
1003,235,3,62,-74
1004,236,3,62,-74
1005,237,3,62,-74
1006,238,3,64,-73
1007,239,3,64,-73
1008,240,3,64,-73
1009,241,3,65,-73
1010,242,3,65,-73
1011,243,3,66,-72
1012,244,3,66,-72
1013,245,3,66,-72
1014,246,3,68,-72
1015,247,3,68,-72
1016,248,3,68,-71
1017,249,3,68,-71
1018,250,3,69,-71
1019,251,3,70,-71
1020,252,3,70,-71
1021,253,3,70,-70
1022,254,3,71,-70
1023,255,3,71,-70
1024,0,4,-71,-69
1025,1,4,-71,-69
1026,2,4,-71,-70
1027,3,4,-71,-70
1028,4,4,-70,-70
1029,5,4,-70,-71
1030,6,4,-70,-71
1031,7,4,-69,-71
1032,8,4,-68,-71
1033,9,4,-68,-71
1034,10,4,-68,-72
1035,11,4,-67,-72
1036,12,4,-66,-72
1037,13,4,-66,-72
1038,14,4,-66,-73
1039,15,4,-65,-73
1040,16,4,-65,-73
1041,17,4,-64,-73
1042,18,4,-64,-73
1043,19,4,-64,-73
1044,20,4,-62,-74
1045,21,4,-62,-74
1046,22,4,-62,-74
1047,23,4,-61,-74
1048,24,4,-61,-74
1049,25,4,-60,-75
1050,26,4,-60,-75
1051,27,4,-59,-75
1052,28,4,-59,-75
1053,29,4,-58,-76
1054,30,4,-57,-76
1055,31,4,-57,-76
1056,32,4,-56,-76
1057,33,4,-56,-76
1058,34,4,-55,-77
1059,35,4,-55,-77
1060,36,4,-54,-77
1061,37,4,-54,-77
1062,38,4,-53,-78
1063,39,4,-53,-78
1064,40,4,-52,-78
1065,41,4,-52,-78
1066,42,4,-51,-79
1067,43,4,-50,-79
1068,44,4,-50,-79
1069,45,4,-49,-79
1070,46,4,-48,-80
1071,47,4,-48,-80
1072,48,4,-48,-80
1073,49,4,-46,-80
1074,50,4,-46,-80
1075,51,4,-46,-81
1076,52,4,-45,-81
1077,53,4,-45,-81
1078,54,4,-44,-81
1079,55,4,-43,-82
1080,56,4,-43,-82
1081,57,4,-42,-82
1082,58,4,-41,-82
1083,59,4,-41,-83
1084,60,4,-40,-83
1085,61,4,-39,-83
1086,62,4,-39,-83
1087,63,4,-38,-84
1088,64,4,-38,-84
1089,65,4,-37,-84
1090,66,4,-36,-85
1091,67,4,-35,-85
1092,68,4,-35,-85
1093,69,4,-34,-85
1094,70,4,-33,-86
1095,71,4,-32,-86
1096,72,4,-32,-86
1097,73,4,-31,-87
1098,74,4,-30,-87
1099,75,4,-29,-87
1100,76,4,-29,-87
1101,77,4,-29,-88
1102,78,4,-27,-88
1103,79,4,-27,-88
1104,80,4,-26,-89
1105,81,4,-26,-89
1106,82,4,-25,-89
1107,83,4,-24,-90
1108,84,4,-23,-90
1109,85,4,-22,-90
1110,86,4,-22,-90
1111,87,4,-21,-91
1112,88,4,-20,-91
1113,89,4,-19,-91
1114,90,4,-19,-92
1115,91,4,-17,-92
1116,92,4,-17,-93
1117,93,4,-17,-93
1118,94,4,-16,-93
1119,95,4,-15,-93
1120,96,4,-14,-94
1121,97,4,-13,-94
1122,98,4,-12,-94
1123,99,4,-11,-95
1124,100,4,-10,-95
1125,101,4,-9,-96
1126,102,4,-9,-96
1127,103,4,-8,-96
1128,104,4,-7,-96
1129,105,4,-6,-97
1130,106,4,-5,-97
1131,107,4,-4,-97
1132,108,4,-3,-98
1133,109,4,-2,-98
1134,110,4,-2,-99
1135,111,4,-1,-99
1136,112,4,0,-99
1137,113,4,0,-100
1138,114,4,0,-100
1139,115,4,0,-100
1140,116,4,0,-100
1141,117,4,0,-100
1142,118,4,0,-100
1143,119,4,0,-100
1144,120,4,0,-100
1145,121,4,0,-100
1146,122,4,0,-100
1147,123,4,0,-100
1148,124,4,0,-100
1149,125,4,0,-100
1150,126,4,0,-100
1151,127,4,0,-100
1152,128,4,0,-100
1153,129,4,0,-100
1154,130,4,0,-100
1155,131,4,0,-100
1156,132,4,0,-100
1157,133,4,0,-100
1158,134,4,0,-100
1159,135,4,0,-100
1160,136,4,0,-100
1161,137,4,0,-100
1162,138,4,0,-100
1163,139,4,0,-100
1164,140,4,0,-100
1165,141,4,0,-100
1166,142,4,0,-100
1167,143,4,0,-100
1168,144,4,0,-99
1169,145,4,1,-99
1170,146,4,2,-99
1171,147,4,2,-98
1172,148,4,3,-98
1173,149,4,4,-97
1174,150,4,5,-97
1175,151,4,6,-97
1176,152,4,7,-96
1177,153,4,8,-96
1178,154,4,9,-96
1179,155,4,9,-96
1180,156,4,10,-95
1181,157,4,11,-95
1182,158,4,12,-94
1183,159,4,13,-94
1184,160,4,14,-94
1185,161,4,15,-93
1186,162,4,16,-93
1187,163,4,17,-93
1188,164,4,17,-93
1189,165,4,17,-92
1190,166,4,19,-92
1191,167,4,19,-91
1192,168,4,20,-91
1193,169,4,21,-91
1194,170,4,22,-90
1195,171,4,22,-90
1196,172,4,23,-90
1197,173,4,24,-90
1198,174,4,25,-89
1199,175,4,26,-89
1200,176,4,26,-89
